Committee Member,Client Name,Season,Company,Contact Info,Industry,Website,Reached Out?(Yes/No),Response(Yes/No/Talking),Project Confirmed(Yes/No),Notes
Zoya,N/A,S25,Beautifully Chaotic Arts,@beautifully_chaotic_arts,Multimedia Art,N/A,True,False,False,N/A
Zoya,N/A,S25,Joi Conti Photography,@joiconti,Photography,https://www.joiconti.com/,True,False,False,N/A
Zoya,N/A,S25,The House of eMagi,@houseofemagi,Clothing,https://emagi360.com/,True,False,False,N/A
Zoya,N/A,S25,Cinful Sweets,@cinfulsweetsatx,Food,https://linktr.ee/cinfulsweetsatx,True,False,False,N/A
Zoya,N/A,S25,Lyssie Lou's Cookie Co.,@lyssielouscookieco,Food,https://lyssielous.myshopify.com/pages/our-story,True,False,False,N/A
Zoya,N/A,S25,Lucille's Catering,@lucillescatering,Food,N/A,True,False,False,N/A
Zoya,Russell Cook,S25,FitOn,N/A,Health/Wellness,https://fitonapp.com/,True,False,False,N/A
Zoya,Shaun Steingold,S25,Healthi,N/A,Health,https://healthiapp.com/how-it-works,True,False,False,N/A
Zoya,N/A,S25,Keep Austin Beautiful,N/A,Nonprofit,https://keepaustinbeautiful.org/,True,False,False,N/A
Zoya,N/A,S25,Side by Side Kids,sly@sidebysidekids.org,Nonprofit,https://www.sidebysidekids.org/,True,False,False,N/A
